               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11525,            0.028402,            0.027909,           0.0014691,             0.26389,           0.0013736,          0.00035737,             0.10238,            0.027968,            0.024505,              0.0937,              0.0007,              0.0007
                   1,            0.094489,            0.027315,            0.020609,           0.0019275,             0.43951,             0.04842,             0.01474,            0.077157,            0.028166,            0.015913,             0.08647,           0.0014703,           0.0014703
                   2,             0.08003,            0.027639,            0.014258,             0.51235,             0.38194,            0.013786,           0.0043076,            0.075862,            0.026508,            0.012066,            0.079209,           0.0022089,           0.0022089
                   3,            0.069306,            0.029272,           0.0099109,             0.52782,                0.25,            0.032654,            0.009367,            0.065966,            0.025508,            0.010513,            0.071916,           0.0029159,           0.0029159
                   4,            0.063428,            0.026045,           0.0087223,             0.55512,             0.24306,            0.055289,            0.023039,            0.059982,            0.024091,            0.010223,            0.064591,           0.0035911,           0.0035911
                   5,            0.061597,            0.024494,           0.0074723,             0.58541,             0.11111,             0.06375,            0.031068,            0.069128,            0.021181,           0.0098552,            0.057235,           0.0042347,           0.0042347
                   6,            0.060737,            0.023713,            0.007859,             0.60047,             0.19444,              0.1081,            0.048323,            0.055702,            0.021786,           0.0096034,            0.049847,           0.0048466,           0.0048466
                   7,            0.059266,            0.021787,           0.0076717,              0.6222,             0.22222,              0.1185,            0.059255,            0.057221,            0.020524,             0.00956,            0.042427,           0.0054268,           0.0054268
                   8,            0.055252,            0.022278,           0.0071773,             0.58502,             0.21875,            0.099403,            0.040368,            0.066033,            0.018776,           0.0091614,            0.034975,           0.0059754,           0.0059754
                   9,            0.053508,            0.020636,           0.0071675,             0.63281,             0.19097,             0.13381,            0.056719,            0.058364,            0.018825,           0.0087928,            0.027492,           0.0064922,           0.0064922
                  10,            0.053496,            0.020779,           0.0073019,             0.69034,             0.20486,             0.18071,            0.086519,            0.055471,            0.018259,           0.0087593,            0.019977,           0.0069774,           0.0069774
                  11,            0.049421,            0.019032,            0.007295,              0.7015,             0.28472,             0.23269,             0.12347,            0.054281,            0.017225,              0.0083,            0.012431,           0.0074309,           0.0074309
                  12,            0.048223,            0.017994,           0.0060844,             0.74387,              0.2149,             0.24856,             0.13578,            0.046642,            0.016577,           0.0083726,            0.007624,            0.007624,            0.007624
                  13,            0.046865,            0.017739,           0.0064504,             0.72295,             0.22917,             0.23295,              0.1206,            0.050273,             0.01781,           0.0086801,            0.007624,            0.007624,            0.007624
                  14,            0.044169,             0.01696,            0.005817,               0.771,             0.25476,             0.31639,             0.16454,            0.044511,            0.015764,           0.0083218,            0.007426,            0.007426,            0.007426
                  15,             0.04262,            0.014802,           0.0052848,             0.83053,             0.28472,             0.36215,              0.1743,            0.045337,            0.016187,           0.0080292,            0.007228,            0.007228,            0.007228
                  16,            0.041376,             0.01457,           0.0057442,             0.80507,             0.33333,             0.36119,             0.21818,            0.040718,            0.014546,           0.0081219,             0.00703,             0.00703,             0.00703
                  17,            0.039166,            0.014291,             0.00445,             0.87004,             0.35069,             0.41766,             0.24256,            0.040354,            0.014007,           0.0079403,            0.006832,            0.006832,            0.006832
                  18,            0.039194,            0.013039,           0.0044263,              0.8491,             0.35344,             0.40986,             0.24542,            0.038158,            0.013836,           0.0079519,            0.006634,            0.006634,            0.006634
                  19,            0.037193,             0.01268,           0.0046441,             0.62682,             0.40132,             0.42195,             0.25664,            0.036655,            0.013359,           0.0082247,            0.006436,            0.006436,            0.006436
                  20,            0.036464,            0.014094,            0.004285,             0.46834,             0.43441,             0.44244,             0.27574,            0.036821,            0.012909,            0.007766,            0.006238,            0.006238,            0.006238
                  21,            0.035094,            0.013373,            0.004133,             0.52318,             0.43458,             0.44143,             0.26833,            0.036549,            0.013682,           0.0075859,             0.00604,             0.00604,             0.00604
                  22,            0.034243,            0.012688,           0.0037358,             0.58185,             0.46752,             0.44359,             0.27856,            0.036231,            0.013046,           0.0081583,            0.005842,            0.005842,            0.005842
                  23,            0.034529,            0.013021,           0.0036713,             0.72327,             0.42988,             0.47199,             0.29337,            0.035828,            0.012442,           0.0079861,            0.005644,            0.005644,            0.005644
