               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11734,            0.031995,            0.028698,          9.6687e-05,            0.039894,          5.3034e-05,          1.2188e-05,             0.11354,             0.01929,            0.029625,              0.0955,              0.0005,              0.0005
                   1,             0.10423,            0.035091,            0.024059,          0.00024171,             0.15207,          0.00021458,           7.143e-05,             0.10684,             0.01583,            0.021433,            0.090064,           0.0010637,           0.0010637
                   2,            0.088284,            0.035302,            0.016791,             0.50466,           0.0079787,          0.00094179,          0.00028959,            0.096739,            0.014017,            0.013492,            0.084588,           0.0015878,           0.0015878
                   3,            0.076011,            0.032298,            0.012576,             0.51381,            0.029158,           0.0043215,           0.0017769,            0.086556,            0.015684,           0.0090079,            0.079072,           0.0020723,           0.0020723
                   4,             0.07151,            0.030986,            0.010054,             0.51716,            0.023936,           0.0054588,           0.0025924,            0.084938,            0.015871,           0.0071122,            0.073517,           0.0025172,           0.0025172
                   5,            0.067034,            0.028454,           0.0078473,              0.5193,            0.058511,           0.0075474,           0.0032239,            0.080148,            0.014327,            0.006094,            0.067922,           0.0029225,           0.0029225
                   6,            0.064647,            0.027316,           0.0071445,             0.52276,            0.039894,           0.0075003,           0.0023646,            0.079544,            0.013578,           0.0056086,            0.062288,           0.0032882,           0.0032882
                   7,             0.06466,            0.027462,           0.0068618,             0.51764,            0.082447,           0.0092825,           0.0027111,            0.076984,            0.014306,           0.0052208,            0.056614,           0.0036143,           0.0036143
                   8,            0.060016,             0.02613,           0.0054459,             0.52303,            0.090426,            0.012154,           0.0056208,            0.073581,            0.013589,           0.0050076,            0.050901,           0.0039008,           0.0039008
                   9,            0.059995,            0.025741,           0.0044013,             0.51854,             0.10771,            0.010628,           0.0045672,            0.071239,            0.012999,           0.0049214,            0.045148,           0.0041477,           0.0041477
                  10,             0.05797,            0.025159,           0.0049456,             0.52761,            0.037234,             0.01065,           0.0036258,            0.073023,            0.011423,           0.0049271,            0.039355,            0.004355,            0.004355
                  11,            0.055153,            0.024911,           0.0040587,             0.52489,            0.053191,            0.011391,           0.0046157,             0.07193,            0.010452,           0.0048855,            0.033523,           0.0045227,           0.0045227
                  12,            0.053031,             0.02534,           0.0036754,             0.52108,             0.06383,            0.012737,           0.0050773,            0.067478,            0.012081,           0.0050965,            0.027651,           0.0046508,           0.0046508
                  13,            0.052455,            0.025079,           0.0037117,             0.53038,            0.074468,            0.015394,           0.0071237,            0.067162,            0.011436,           0.0049181,            0.021739,           0.0047393,           0.0047393
                  14,            0.050146,            0.024323,           0.0037701,             0.53532,            0.073138,            0.019945,           0.0087894,             0.06501,            0.010228,           0.0050427,            0.015788,           0.0047882,           0.0047882
                  15,            0.048994,             0.02396,           0.0029425,             0.52925,              0.0625,            0.016398,             0.00701,            0.066615,            0.010213,           0.0051744,           0.0097975,           0.0047975,           0.0047975
                  16,            0.048342,            0.023366,           0.0032706,             0.53604,            0.069149,            0.019127,             0.00879,            0.063584,            0.010842,           0.0052702,             0.00472,             0.00472,             0.00472
                  17,            0.046226,            0.022102,           0.0022301,             0.53256,            0.067819,            0.017897,           0.0078269,            0.063609,            0.010007,           0.0057109,             0.00472,             0.00472,             0.00472
                  18,            0.045736,            0.021531,           0.0033389,             0.54573,            0.071809,            0.022191,            0.010513,            0.058404,             0.01014,            0.005289,             0.00439,             0.00439,             0.00439
                  19,            0.043949,            0.021985,           0.0026383,             0.53497,             0.11968,            0.024389,            0.011478,            0.059442,           0.0095424,           0.0047583,             0.00406,             0.00406,             0.00406
                  20,            0.042654,            0.021902,           0.0023937,              0.5477,            0.069149,            0.026747,            0.013435,             0.05682,             0.01095,             0.00457,             0.00373,             0.00373,             0.00373
                  21,            0.043096,            0.022209,           0.0023644,             0.54294,             0.14096,            0.031244,            0.016156,            0.054572,           0.0099815,           0.0050071,              0.0034,              0.0034,              0.0034
                  22,            0.040086,            0.020948,           0.0015817,             0.55439,              0.1383,            0.038572,            0.020059,            0.053101,            0.010282,           0.0050254,             0.00307,             0.00307,             0.00307
                  23,            0.038969,            0.020971,           0.0019563,             0.56574,             0.12633,            0.038174,            0.018659,             0.05493,           0.0093782,           0.0048344,             0.00274,             0.00274,             0.00274
                  24,            0.036465,            0.019745,            0.002455,             0.56074,             0.12899,            0.038321,            0.020639,             0.05215,             0.01022,           0.0047781,             0.00241,             0.00241,             0.00241
                  25,            0.037186,            0.020185,           0.0019843,             0.55948,             0.15426,            0.041969,            0.023726,            0.050378,            0.010625,           0.0049992,             0.00208,             0.00208,             0.00208
                  26,            0.036206,            0.017991,           0.0019212,             0.56175,             0.13032,            0.038961,            0.021073,            0.051495,            0.009021,           0.0049592,             0.00175,             0.00175,             0.00175
                  27,            0.035256,            0.021059,           0.0016754,              0.5556,             0.14761,            0.040201,            0.021592,            0.051464,            0.010372,           0.0049153,             0.00142,             0.00142,             0.00142
                  28,            0.035993,            0.020277,           0.0022955,             0.56573,             0.13345,            0.043087,            0.024007,            0.050218,            0.010192,           0.0049122,             0.00109,             0.00109,             0.00109
                  29,            0.034097,            0.021407,           0.0021599,             0.56801,             0.13564,            0.043443,            0.024906,            0.049321,           0.0097133,           0.0049035,             0.00076,             0.00076,             0.00076
