               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1068,            0.031203,            0.026251,           0.0029511,             0.30106,            0.042383,            0.015356,            0.084095,            0.024892,             0.01914,              0.0892,              0.0012,              0.0012
                   1,             0.07511,            0.030447,            0.014226,             0.79931,             0.12316,             0.16264,            0.086613,            0.067274,            0.022697,            0.010668,            0.077451,           0.0024505,           0.0024505
                   2,            0.062936,             0.02731,           0.0086125,             0.72214,             0.13235,             0.14675,            0.053727,            0.065155,            0.020103,            0.010259,             0.06565,           0.0036495,           0.0036495
                   3,            0.059416,            0.024346,           0.0076305,             0.70861,              0.1636,             0.16792,            0.070339,            0.057683,            0.018383,             0.01028,            0.053797,           0.0047971,           0.0047971
                   4,            0.055448,            0.023174,           0.0073662,             0.77917,             0.16176,             0.19873,            0.099473,             0.06336,            0.016006,            0.010058,            0.041893,           0.0058931,           0.0058931
                   5,            0.053891,            0.021252,           0.0069517,             0.67154,             0.19853,             0.16956,            0.061008,            0.057361,            0.016331,           0.0094375,            0.029938,           0.0069377,           0.0069377
                   6,            0.051263,              0.0211,           0.0061894,             0.72842,             0.20588,             0.20072,             0.10354,             0.05058,            0.015216,           0.0088531,            0.017931,           0.0079308,           0.0079308
                   7,            0.047699,            0.019319,           0.0054358,             0.73027,             0.27206,             0.23683,             0.13141,            0.055124,            0.013505,           0.0081975,            0.008614,            0.008614,            0.008614
                   8,            0.046074,            0.018786,           0.0053119,              0.8154,              0.3172,             0.35369,             0.18543,            0.048883,            0.013713,           0.0077058,            0.008614,            0.008614,            0.008614
                   9,            0.042741,            0.017213,           0.0048713,             0.81606,             0.32721,             0.35067,              0.2017,            0.048091,             0.01356,           0.0078481,            0.008416,            0.008416,            0.008416
                  10,            0.040035,            0.016385,           0.0041547,             0.82956,             0.32721,             0.37098,             0.21218,            0.043228,            0.013403,           0.0078496,            0.008218,            0.008218,            0.008218
                  11,            0.037297,            0.015456,           0.0038207,             0.59015,             0.37411,             0.40941,             0.25308,            0.042901,            0.013113,            0.008023,             0.00802,             0.00802,             0.00802
                  12,            0.037567,            0.015873,           0.0033364,              0.6942,             0.40358,             0.43153,             0.25119,             0.03985,            0.014766,             0.00742,            0.007822,            0.007822,            0.007822
                  13,            0.035602,            0.015361,           0.0035854,             0.78489,             0.41971,             0.44003,             0.27134,            0.041434,             0.01388,           0.0077426,            0.007624,            0.007624,            0.007624
                  14,             0.03401,            0.014877,           0.0029718,             0.85292,             0.42011,              0.4474,             0.28912,             0.03851,             0.01443,           0.0090283,            0.007426,            0.007426,            0.007426
                  15,            0.033312,            0.014521,           0.0024329,             0.51716,             0.42955,             0.43483,             0.27804,            0.040013,            0.013187,            0.008213,            0.007228,            0.007228,            0.007228
                  16,            0.033483,            0.014656,           0.0025368,             0.87184,             0.38123,             0.48318,             0.29737,             0.03928,            0.012071,           0.0074834,             0.00703,             0.00703,             0.00703
                  17,            0.032322,            0.014136,           0.0023546,             0.89639,             0.42665,             0.49687,             0.30725,            0.036197,             0.01173,           0.0069046,            0.006832,            0.006832,            0.006832
                  18,            0.031753,            0.014497,           0.0019948,             0.48189,             0.54038,             0.50256,             0.31955,            0.038149,            0.011523,           0.0079998,            0.006634,            0.006634,            0.006634
                  19,            0.030718,            0.013061,           0.0021233,             0.80019,             0.38182,             0.47989,             0.31658,            0.038255,            0.012765,            0.010135,            0.006436,            0.006436,            0.006436
                  20,            0.031563,            0.013568,           0.0021641,             0.62974,             0.48968,             0.50477,             0.32406,            0.038098,            0.012214,           0.0087915,            0.006238,            0.006238,            0.006238
                  21,            0.030081,            0.012898,           0.0018233,             0.70225,             0.43726,              0.4903,             0.32719,            0.036522,            0.012308,            0.008494,             0.00604,             0.00604,             0.00604
                  22,            0.029569,            0.012623,           0.0016118,             0.69258,             0.47939,              0.4876,              0.3276,            0.035933,            0.012547,           0.0083443,            0.005842,            0.005842,            0.005842
                  23,            0.028341,            0.012538,           0.0016364,             0.75976,             0.44972,             0.50683,             0.33237,            0.036241,            0.012265,           0.0089401,            0.005644,            0.005644,            0.005644
                  24,            0.028615,            0.011817,           0.0013264,             0.76039,             0.48648,             0.51718,             0.31182,            0.036515,            0.012002,           0.0072708,            0.005446,            0.005446,            0.005446
                  25,            0.027608,            0.012036,            0.001494,             0.82641,             0.48239,              0.5382,             0.36091,            0.037153,            0.011957,           0.0070441,            0.005248,            0.005248,            0.005248
