               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091192,            0.045995,            0.021428,              0.6375,             0.13248,            0.079408,            0.022802,            0.054211,            0.026088,           0.0092452,              0.0784,              0.0024,              0.0024
                   1,            0.059662,            0.027488,           0.0099472,             0.60599,             0.22978,            0.099798,            0.048222,              0.0505,            0.020208,           0.0089542,            0.055839,           0.0048394,           0.0048394
                   2,            0.052932,            0.025437,           0.0087135,             0.59298,             0.24081,            0.086854,            0.032673,            0.047843,             0.01909,            0.007498,            0.033217,           0.0072168,           0.0072168
                   3,            0.049486,             0.02185,           0.0079523,             0.72096,             0.18199,             0.17624,            0.072836,            0.045114,            0.019764,           0.0070388,            0.010532,           0.0095325,           0.0095325
                   4,            0.045998,            0.020036,           0.0061622,             0.70547,             0.28213,             0.23523,             0.12004,            0.040969,            0.019556,           0.0074045,            0.009505,            0.009505,            0.009505
                   5,            0.042569,            0.019138,           0.0049616,             0.72221,             0.29263,              0.2486,             0.11938,            0.040298,            0.020538,           0.0073413,            0.009505,            0.009505,            0.009505
                   6,            0.041139,            0.019623,           0.0051553,             0.66955,             0.34375,             0.29301,              0.1673,            0.035119,            0.020759,           0.0076101,           0.0093813,           0.0093813,           0.0093813
                   7,            0.038368,            0.018354,           0.0046948,             0.36906,             0.41829,             0.30126,             0.16401,             0.03715,             0.01775,           0.0073231,           0.0092575,           0.0092575,           0.0092575
                   8,            0.038986,            0.018819,           0.0043257,             0.43726,             0.36471,             0.36087,             0.17796,            0.036093,            0.016398,           0.0073571,           0.0091337,           0.0091337,           0.0091337
                   9,            0.037747,            0.018692,           0.0046664,             0.43933,             0.32502,             0.31591,             0.18612,            0.038069,            0.018804,           0.0070636,             0.00901,             0.00901,             0.00901
                  10,            0.036255,            0.018575,           0.0037061,             0.54434,             0.44311,             0.40865,              0.2431,            0.032825,            0.015514,           0.0068491,           0.0088863,           0.0088863,           0.0088863
                  11,            0.035509,            0.017246,           0.0043163,             0.34323,             0.41501,              0.3678,             0.21487,             0.03404,            0.017231,           0.0073773,           0.0087625,           0.0087625,           0.0087625
                  12,            0.036109,            0.017153,              0.0033,             0.37775,             0.39383,             0.38307,             0.22498,            0.032188,            0.016636,           0.0067587,           0.0086388,           0.0086388,           0.0086388
                  13,            0.034511,            0.018182,           0.0031932,             0.81727,             0.42256,             0.45775,             0.28426,            0.031902,            0.015327,           0.0072364,            0.008515,            0.008515,            0.008515
                  14,             0.03403,            0.017524,            0.002769,             0.58926,             0.44882,             0.42624,              0.2489,            0.031835,            0.016312,           0.0085271,           0.0083913,           0.0083913,           0.0083913
                  15,             0.03328,            0.017027,           0.0028537,             0.60116,               0.434,             0.43874,             0.27045,            0.032352,            0.015166,           0.0086375,           0.0082675,           0.0082675,           0.0082675
                  16,            0.032835,            0.016487,           0.0029591,             0.58022,             0.44052,             0.43603,             0.25437,             0.03336,            0.015557,           0.0079138,           0.0081437,           0.0081437,           0.0081437
                  17,            0.031588,            0.017138,           0.0025383,             0.64434,             0.49472,             0.49933,             0.29428,            0.031998,            0.014487,           0.0090084,             0.00802,             0.00802,             0.00802
                  18,            0.032342,            0.017031,           0.0020844,             0.38726,             0.44972,             0.39363,             0.23676,            0.030579,            0.016478,            0.007971,           0.0078963,           0.0078963,           0.0078963
                  19,            0.030352,            0.016099,           0.0021395,             0.52141,             0.45298,             0.47004,             0.29404,            0.030292,            0.015246,           0.0086432,           0.0077725,           0.0077725,           0.0077725
                  20,            0.031922,            0.016148,           0.0021574,             0.61394,             0.45991,             0.47731,             0.28159,            0.031195,            0.015851,           0.0079157,           0.0076488,           0.0076488,           0.0076488
                  21,             0.03034,            0.015691,           0.0019891,             0.65396,             0.43501,             0.44777,             0.28224,            0.030502,            0.015574,           0.0080303,            0.007525,            0.007525,            0.007525
                  22,            0.030652,            0.015406,           0.0021897,             0.84347,             0.42564,              0.4797,             0.30383,            0.031004,            0.014313,           0.0065742,           0.0074013,           0.0074013,           0.0074013
                  23,            0.030023,             0.01503,           0.0014215,             0.76048,             0.43842,             0.46951,              0.3041,             0.03068,            0.014498,           0.0086273,           0.0072775,           0.0072775,           0.0072775
                  24,              0.0299,            0.014307,           0.0015674,             0.59001,             0.42737,             0.47632,             0.30935,            0.031558,             0.01511,           0.0091819,           0.0071538,           0.0071538,           0.0071538
                  25,            0.028792,            0.013826,           0.0015938,             0.73309,             0.47226,             0.49692,             0.31228,            0.031149,            0.014524,           0.0066746,             0.00703,             0.00703,             0.00703
                  26,            0.029248,            0.014392,           0.0016038,             0.66349,             0.41621,             0.48073,             0.30411,             0.03033,              0.0154,            0.007636,           0.0069063,           0.0069063,           0.0069063
                  27,              0.0287,            0.014444,            0.001251,             0.79656,             0.43264,             0.49402,             0.33147,            0.028352,            0.014326,           0.0066697,           0.0067825,           0.0067825,           0.0067825
                  28,             0.02772,             0.01402,           0.0013339,             0.80091,             0.44236,             0.51464,             0.33743,            0.028865,            0.014223,           0.0073361,           0.0066587,           0.0066587,           0.0066587
                  29,            0.026293,            0.013704,           0.0015384,             0.64962,             0.47355,             0.50607,             0.33372,            0.028306,            0.014745,           0.0063544,            0.006535,            0.006535,            0.006535
                  30,            0.027785,            0.014291,           0.0011691,             0.61288,             0.44377,             0.50055,             0.34812,             0.02848,            0.015191,            0.006637,           0.0064112,           0.0064112,           0.0064112
                  31,            0.026874,            0.013285,          0.00090137,              0.6316,             0.45748,             0.48424,              0.3371,            0.028845,            0.013717,           0.0062687,           0.0062875,           0.0062875,           0.0062875
                  32,             0.02579,            0.012627,           0.0012012,             0.70618,             0.47177,             0.50607,             0.35955,            0.027107,            0.014387,           0.0063553,           0.0061637,           0.0061637,           0.0061637
                  33,            0.025814,            0.013108,           0.0011826,              0.7399,             0.49567,             0.51178,             0.34657,            0.027861,            0.013786,           0.0082447,             0.00604,             0.00604,             0.00604
                  34,            0.024978,             0.01209,              0.0008,             0.68561,             0.42353,             0.50321,             0.34785,            0.027621,            0.013944,           0.0077472,           0.0059163,           0.0059163,           0.0059163
                  35,            0.025186,            0.012675,          0.00078295,             0.66546,             0.44236,              0.4887,             0.34478,            0.027652,            0.014593,           0.0077404,           0.0057925,           0.0057925,           0.0057925
                  36,            0.024654,            0.012385,          0.00098825,             0.69742,             0.43175,             0.46905,             0.32893,            0.028455,            0.014479,           0.0082686,           0.0056688,           0.0056688,           0.0056688
                  37,            0.025061,            0.012194,          0.00071874,             0.66499,             0.47177,             0.49005,             0.33651,            0.028746,            0.014541,           0.0074282,            0.005545,            0.005545,            0.005545
                  38,            0.024319,            0.011534,          0.00090583,              0.5882,             0.51915,             0.51073,              0.3613,            0.027739,            0.013886,           0.0077817,           0.0054212,           0.0054212,           0.0054212
                  39,            0.023598,            0.012255,           0.0006404,             0.93788,             0.47757,             0.52287,               0.379,            0.029559,            0.014551,           0.0084175,           0.0052975,           0.0052975,           0.0052975
                  40,            0.023773,            0.012306,          0.00080292,             0.61333,             0.53161,             0.53013,             0.35306,            0.027953,            0.014543,           0.0069109,           0.0051737,           0.0051737,           0.0051737
                  41,            0.023129,            0.011811,          0.00085315,             0.87443,             0.45748,             0.51023,             0.34981,            0.028931,            0.014751,           0.0074747,             0.00505,             0.00505,             0.00505
                  42,            0.022601,            0.011865,          0.00070616,             0.65724,             0.48055,             0.49816,             0.34279,            0.028016,            0.015008,           0.0076399,           0.0049263,           0.0049263,           0.0049263
                  43,            0.022793,            0.011658,          0.00069765,             0.59021,             0.48464,             0.52057,             0.36806,            0.028337,            0.014791,           0.0072772,           0.0048025,           0.0048025,           0.0048025
                  44,            0.022149,            0.011235,          0.00073422,             0.63117,             0.47587,             0.48868,              0.3418,            0.027775,            0.015469,           0.0075408,           0.0046788,           0.0046788,           0.0046788
                  45,            0.021524,            0.010449,          0.00063597,             0.87164,             0.47254,               0.526,             0.36933,            0.027908,            0.014615,           0.0072292,            0.004555,            0.004555,            0.004555
                  46,            0.021588,            0.010559,          0.00054214,             0.71986,             0.48464,             0.51837,             0.36572,            0.027131,              0.0149,           0.0079796,           0.0044313,           0.0044313,           0.0044313
