               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11788,            0.028475,             0.03058,          0.00074099,             0.10569,          0.00046308,          0.00010877,               0.104,            0.029552,             0.02434,              0.0928,              0.0008,              0.0008
                   1,            0.098978,            0.028996,             0.02198,           0.0024009,              0.4187,            0.015793,           0.0048762,            0.082212,              0.0317,            0.013606,            0.084666,           0.0016663,           0.0016663
                   2,              0.0842,            0.030581,            0.017349,            0.002445,             0.46748,            0.010563,           0.0033428,            0.082808,             0.02826,           0.0082711,            0.076497,            0.002497,            0.002497
                   3,            0.073544,            0.029497,             0.01663,             0.62542,             0.20732,            0.087387,            0.028126,            0.067711,            0.029109,           0.0071088,            0.068292,           0.0032921,           0.0032921
                   4,            0.067602,             0.02656,             0.01497,             0.58191,             0.13008,            0.061581,            0.020255,            0.078266,            0.027851,           0.0065767,            0.060052,           0.0040515,           0.0040515
                   5,            0.064735,            0.026329,            0.014975,             0.60753,             0.17886,             0.11049,            0.043286,            0.058811,            0.026932,           0.0064725,            0.051775,           0.0047753,           0.0047753
                   6,            0.062267,            0.024669,             0.01537,             0.61287,             0.22163,             0.11124,            0.042879,            0.061194,            0.024114,           0.0067613,            0.043463,           0.0054634,           0.0054634
                   7,            0.060241,            0.024586,            0.015518,             0.65328,             0.21545,             0.13308,            0.052419,            0.069172,            0.021509,            0.006974,            0.035116,           0.0061159,           0.0061159
                   8,            0.058809,            0.023983,            0.015157,             0.68998,             0.26655,             0.19073,            0.078853,            0.053901,            0.022901,           0.0065905,            0.026733,           0.0067328,           0.0067328
                   9,             0.05749,             0.02311,            0.015333,             0.69138,             0.23171,             0.18588,            0.088829,            0.056398,            0.020459,           0.0069124,            0.018314,            0.007314,            0.007314
                  10,            0.055242,            0.023139,            0.014502,             0.75126,             0.32114,              0.2627,              0.1183,            0.047005,            0.021542,           0.0062171,           0.0098596,           0.0078596,           0.0078596
                  11,             0.05311,             0.02148,            0.013299,             0.72711,             0.21951,             0.22123,            0.082768,            0.052064,             0.02331,           0.0054272,            0.007822,            0.007822,            0.007822
                  12,            0.050759,            0.021495,            0.013306,             0.74983,             0.35723,             0.30034,             0.15309,            0.042565,            0.023675,           0.0053045,            0.007822,            0.007822,            0.007822
                  13,            0.048574,            0.020891,            0.013555,             0.84818,             0.29268,             0.33575,             0.14639,            0.043706,            0.019559,           0.0054409,            0.007624,            0.007624,            0.007624
                  14,            0.046557,            0.019594,            0.013576,             0.82027,             0.34047,             0.34814,             0.20035,            0.040802,            0.017935,           0.0060281,            0.007426,            0.007426,            0.007426
                  15,             0.04537,              0.0194,            0.013572,             0.87615,             0.31707,             0.38241,             0.21523,            0.039303,            0.020403,           0.0054587,            0.007228,            0.007228,            0.007228
                  16,            0.043229,            0.018479,            0.016259,             0.89903,             0.33735,             0.40293,             0.22867,            0.037602,            0.017559,           0.0060285,             0.00703,             0.00703,             0.00703
                  17,            0.042068,            0.018733,            0.012887,             0.89996,             0.35756,             0.40059,             0.22656,            0.035918,            0.017284,           0.0059555,            0.006832,            0.006832,            0.006832
                  18,            0.040839,            0.017433,            0.012502,             0.89446,             0.34945,             0.42205,             0.25811,            0.033193,            0.015833,           0.0053774,            0.006634,            0.006634,            0.006634
                  19,             0.04039,            0.018095,            0.012564,             0.88336,             0.37408,             0.41839,             0.26901,            0.032184,            0.017059,            0.004926,            0.006436,            0.006436,            0.006436
                  20,            0.039533,              0.0178,             0.01469,             0.50505,             0.51778,             0.48148,               0.316,            0.030682,            0.015187,           0.0056608,            0.006238,            0.006238,            0.006238
                  21,            0.039847,            0.017699,            0.013033,             0.90983,             0.36585,             0.49457,             0.29301,            0.031072,             0.01653,           0.0051475,             0.00604,             0.00604,             0.00604
                  22,            0.036529,            0.017599,            0.012622,             0.54243,             0.64658,             0.56474,             0.31893,            0.029367,            0.015073,           0.0054033,            0.005842,            0.005842,            0.005842
                  23,            0.037294,            0.016302,            0.014348,             0.58837,             0.53983,             0.60432,             0.37003,            0.028442,             0.01474,           0.0059331,            0.005644,            0.005644,            0.005644
                  24,            0.037184,            0.016359,             0.01392,             0.58861,              0.5315,             0.51292,             0.33851,            0.028412,            0.014183,            0.006505,            0.005446,            0.005446,            0.005446
                  25,            0.035844,            0.016106,            0.013411,             0.71694,             0.61891,             0.63359,             0.34913,             0.02869,            0.013718,           0.0057365,            0.005248,            0.005248,            0.005248
                  26,             0.03499,            0.017264,            0.011752,             0.80409,             0.44461,             0.53776,             0.36035,            0.028174,             0.01417,           0.0063594,             0.00505,             0.00505,             0.00505
                  27,            0.034143,            0.016214,            0.012606,             0.67398,             0.49305,              0.5388,             0.36141,            0.028813,            0.015895,           0.0075146,            0.004852,            0.004852,            0.004852
                  28,            0.034266,            0.016244,            0.011949,             0.87173,             0.53575,             0.55832,             0.34094,            0.029921,            0.014889,           0.0066031,            0.004654,            0.004654,            0.004654
                  29,            0.033913,            0.015553,            0.013336,             0.68403,             0.47866,             0.59296,             0.36773,             0.02868,            0.015601,           0.0082744,            0.004456,            0.004456,            0.004456
                  30,            0.033997,            0.016077,            0.011368,             0.45709,             0.56959,             0.54077,             0.34502,             0.02783,            0.014194,           0.0064553,            0.004258,            0.004258,            0.004258
                  31,            0.033135,            0.015424,            0.012223,             0.90822,             0.50096,              0.5963,             0.40052,            0.025901,            0.013846,           0.0078507,             0.00406,             0.00406,             0.00406
                  32,            0.032634,            0.015648,            0.013128,             0.72134,             0.44207,             0.56566,             0.38428,            0.025985,            0.013719,           0.0096817,            0.003862,            0.003862,            0.003862
                  33,            0.030801,             0.01543,            0.012035,             0.66097,             0.43049,             0.55328,             0.37497,            0.025398,            0.014463,             0.01061,            0.003664,            0.003664,            0.003664
                  34,            0.031802,             0.01498,            0.010485,             0.71359,             0.41921,             0.56834,             0.37902,            0.026347,            0.017037,            0.016281,            0.003466,            0.003466,            0.003466
                  35,            0.031674,            0.014625,            0.010092,             0.90562,                0.33,             0.60406,             0.37771,            0.028136,            0.016763,            0.023648,            0.003268,            0.003268,            0.003268
                  36,            0.030812,            0.015567,            0.009341,             0.69206,             0.39955,             0.60672,             0.37155,            0.026019,            0.015747,            0.019431,             0.00307,             0.00307,             0.00307
                  37,            0.030544,            0.014673,            0.008637,             0.44173,             0.58333,             0.54812,             0.38656,            0.026063,            0.015654,            0.024713,            0.002872,            0.002872,            0.002872
                  38,            0.031268,            0.014384,           0.0090987,              0.4041,             0.53668,              0.5102,             0.34235,            0.027323,             0.01538,            0.032912,            0.002674,            0.002674,            0.002674
                  39,            0.029799,            0.014487,           0.0094116,             0.42915,             0.58333,             0.55831,             0.36058,            0.027589,            0.016256,             0.04163,            0.002476,            0.002476,            0.002476
                  40,            0.028903,            0.014362,           0.0093314,             0.39842,             0.61179,             0.50593,              0.3488,            0.026726,            0.015929,            0.038786,            0.002278,            0.002278,            0.002278
