               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11362,            0.029908,            0.028041,           0.0022507,             0.31301,           0.0027364,           0.0007219,            0.097847,            0.031157,            0.022963,              0.0928,              0.0008,              0.0008
                   1,            0.090821,            0.031164,            0.021283,           0.0028098,             0.51778,            0.064323,            0.015118,            0.078469,            0.031456,            0.014692,            0.084644,           0.0016439,           0.0016439
                   2,            0.076171,            0.032732,            0.017555,             0.53808,             0.39431,            0.048638,            0.014778,            0.065701,            0.030974,           0.0093712,            0.076428,           0.0024284,           0.0024284
                   3,            0.065634,            0.031728,            0.016346,             0.57858,             0.26423,            0.079833,            0.030822,            0.066149,            0.027321,            0.007181,            0.068154,           0.0031535,           0.0031535
                   4,            0.060915,            0.027426,            0.014773,              0.5848,             0.13821,             0.07395,            0.030554,            0.061099,            0.026658,           0.0065713,            0.059819,           0.0038192,           0.0038192
                   5,            0.057506,            0.026797,            0.014719,             0.60862,             0.24144,             0.10142,            0.046711,            0.061593,            0.023264,           0.0064475,            0.051425,           0.0044255,           0.0044255
                   6,             0.05556,            0.024874,            0.015147,             0.64632,             0.26829,             0.14269,             0.07548,            0.051009,            0.023684,           0.0066509,            0.042972,           0.0049724,           0.0049724
                   7,            0.054076,            0.024497,            0.015223,             0.63302,             0.27236,             0.13755,            0.069918,            0.053644,            0.022108,           0.0067554,             0.03446,           0.0054599,           0.0054599
                   8,            0.051783,             0.02368,            0.014951,             0.64339,             0.34553,             0.18671,            0.092472,            0.044543,            0.022266,           0.0068247,            0.025888,            0.005888,            0.005888
                   9,            0.049707,            0.022707,            0.015078,             0.73619,             0.29268,             0.26132,             0.12609,            0.047057,            0.019857,           0.0066026,            0.017257,           0.0062567,           0.0062567
                  10,            0.048486,            0.022317,            0.014352,             0.72984,             0.34146,              0.2829,             0.15593,            0.040456,            0.019406,            0.006068,            0.008566,            0.006566,            0.006566
                  11,            0.045636,            0.020551,            0.013251,             0.76216,             0.28862,             0.37043,             0.17363,            0.042789,            0.017484,           0.0054582,             0.00637,             0.00637,             0.00637
                  12,            0.043958,            0.020045,            0.013005,             0.50935,             0.53811,             0.44415,             0.22269,            0.038892,            0.017384,           0.0049925,             0.00637,             0.00637,             0.00637
                  13,            0.041096,            0.018999,            0.013269,             0.45425,             0.53404,             0.37912,              0.2349,            0.036252,            0.016843,           0.0048415,             0.00604,             0.00604,             0.00604
                  14,            0.039131,              0.0176,            0.013074,             0.42163,             0.49746,             0.49754,             0.32429,            0.031284,            0.015179,           0.0051903,             0.00571,             0.00571,             0.00571
                  15,            0.037735,            0.017472,            0.013126,             0.34008,             0.50152,             0.49425,             0.29388,            0.032592,            0.015138,           0.0049983,             0.00538,             0.00538,             0.00538
                  16,            0.035254,            0.016223,            0.015906,             0.69369,             0.50559,              0.5184,             0.35214,            0.029022,            0.014583,            0.005213,             0.00505,             0.00505,             0.00505
                  17,            0.034484,            0.016372,            0.012441,             0.50253,             0.54776,             0.55976,             0.37363,            0.027833,            0.014361,           0.0053904,             0.00472,             0.00472,             0.00472
                  18,            0.032764,            0.015317,            0.011981,             0.85624,             0.63485,             0.66237,             0.44156,             0.02553,            0.012947,           0.0048891,             0.00439,             0.00439,             0.00439
                  19,            0.031596,            0.015865,            0.012254,             0.76678,             0.65498,             0.63889,             0.43702,             0.02589,            0.014105,           0.0044458,             0.00406,             0.00406,             0.00406
                  20,            0.031043,            0.015303,            0.014374,             0.88556,               0.594,             0.71499,             0.48947,            0.023171,             0.01271,           0.0054535,             0.00373,             0.00373,             0.00373
                  21,            0.030127,            0.014969,            0.012575,              0.7841,             0.64306,             0.65236,             0.44201,            0.023288,            0.014762,           0.0045225,              0.0034,              0.0034,              0.0034
                  22,            0.027948,            0.014549,            0.012228,             0.74948,             0.63059,             0.70989,             0.49026,               0.022,            0.012608,           0.0049976,             0.00307,             0.00307,             0.00307
                  23,            0.027297,            0.013415,            0.013847,             0.84657,             0.67899,             0.76703,             0.48768,            0.021447,             0.01251,           0.0054257,             0.00274,             0.00274,             0.00274
                  24,            0.027323,            0.013307,            0.013461,             0.77757,             0.71494,             0.75701,             0.52904,            0.020811,            0.012842,           0.0069483,             0.00241,             0.00241,             0.00241
                  25,            0.025554,             0.01309,            0.013041,             0.85396,             0.62246,             0.75536,             0.52798,            0.019367,            0.011651,           0.0054855,             0.00208,             0.00208,             0.00208
                  26,              0.0249,            0.013879,            0.011353,             0.88652,             0.64431,             0.78471,             0.54142,            0.019794,            0.011926,           0.0058507,             0.00175,             0.00175,             0.00175
                  27,            0.024194,            0.012674,            0.012441,             0.90812,             0.64431,             0.77783,              0.5151,            0.019826,            0.012516,           0.0067198,             0.00142,             0.00142,             0.00142
                  28,            0.024418,            0.012944,             0.01171,              0.6814,             0.74346,             0.76576,             0.54561,            0.018757,            0.011464,           0.0060697,             0.00109,             0.00109,             0.00109
                  29,            0.023528,             0.01281,            0.013004,             0.92384,             0.68207,               0.773,             0.54422,            0.018974,            0.012231,           0.0073214,             0.00076,             0.00076,             0.00076
