               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12197,            0.033096,                   0,          0.00090909,            0.082192,           0.0012026,          0.00040079,             0.12594,            0.029554,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11895,            0.032037,                   0,           0.0010667,             0.10959,            0.001078,          0.00027556,             0.12053,            0.028997,                   0,            0.093631,           0.0006307,           0.0006307
                   2,             0.11695,            0.032545,                   0,           0.0012644,             0.15068,           0.0017053,           0.0004127,             0.11315,            0.028896,                   0,            0.089882,           0.0008822,           0.0008822
                   3,             0.11229,            0.030786,                   0,           0.0038271,             0.32877,            0.010737,           0.0019853,             0.10496,             0.02915,                   0,            0.086055,           0.0010545,           0.0010545
                   4,             0.10725,            0.030048,                   0,           0.0032446,             0.42466,            0.013996,           0.0037151,             0.10115,            0.029062,                   0,            0.082148,           0.0011476,           0.0011476
                   5,             0.10486,              0.0286,                   0,           0.0043672,             0.43836,            0.020505,           0.0064012,            0.095934,            0.029382,                   0,            0.078162,           0.0011615,           0.0011615
                   6,            0.098984,            0.028083,                   0,           0.0096318,             0.47945,            0.029967,           0.0095921,            0.091993,            0.029491,                   0,            0.074096,           0.0010962,           0.0010962
                   7,             0.09603,            0.027649,                   0,            0.018382,             0.53425,            0.036238,            0.013281,            0.088091,            0.029588,                   0,            0.069952,           0.0009517,           0.0009517
                   8,            0.095049,            0.029887,                   0,            0.026059,             0.57534,            0.058426,            0.019005,            0.085462,            0.029636,                   0,            0.065728,            0.000728,            0.000728
                   9,            0.094072,            0.029955,                   0,             0.03447,             0.54921,            0.059209,            0.020539,            0.083932,            0.029556,                   0,            0.061425,           0.0004251,           0.0004251
